comment_text,sentiment
today is my 1 year of long distance relationshipjo ek saal bhi nahi chalai know usko ye message nhi mile ga per phir bhi happy anniversary meri jaan i love you forever enjoy your life babe ,Positive
are you listening to this in 2024then hit a like ,Neutral
just remind me this song by like the comment 2024 ,Positive
328 ,Positive
love this song every morning before starting my day ,Positive
one of my all time favorite song ,Positive
i will never forget this one i keep coming back every few months ,Positive
this song lyrics hits very hard for stock market traders and gamblers i am one of them like if you feel the same ,Neutral
what a refreshing song ,Positive
agar mai pm bana to china par attack karunga bakin din ka modi jaane ,Negative
what a song ,Positive
whos listening in 2024 ,Neutral
arijit sir lovethis guy makes every song worth lisening ,Positive
i love this song ,Positive
favourite song ,Positive
joint and this song ,Positive
love from ,Positive
really excellant song and wonderful creation by arijit singh ,Positive
2024 ,Neutral
327 ,Positive
256 ,Positive
uff this song ,Positive
this is my all time favourite song amazing voice of arijit sir thank you so much for this beautiful masterpiece ,Positive
mast movie ,Positive
done ,Neutral
मुश्किल आसान करदो ,Positive
a journey from impression to depression is love ,Neutral
anyone 2024 ,Neutral
longing to watch this movie ,Positive
2024 kon kon ye gaana ko sunta hai ,Neutral
353 ,Positive
lovely ,Positive
awesome ,Positive
nice song ,Positive
the same 3 rd story happened with my brother ,Neutral
khawabon ko jagah na mili aankhon mein waha pehle se hi sailaab tha wow masterpiece ,Positive
arijitian ,Positive
2024 mein kon kon sun raha hai ,Neutral
what a song ,Positive
2024 ,Neutral
next is carom ,Neutral
who else is listening to this masterpiece before 2k24 ,Neutral
its enoughall the commentators come to reality there are many things to do in your life ,Neutral
thanks for music india i like so much have a nice day jaaaa ,Positive
this song for my math teacher ,Neutral
like for sharad kelkar voice ,Neutral
i never thought the music has that much power ,Positive
421 favourite part ,Positive
who comes in dec2023 ,Neutral
dil chhu jane wala song ,Positive
nice ,Positive
great superb ,Positive
wow just unconditional love ,Positive
600 best part ,Positive
nice ,Positive
the part of khabo ko jagana milie ankho is my lifetime favorite ,Positive
arijit mera bhai kya song laya hai mza agya ,Positive
this is ,Neutral
054 ,Neutral
good ,Positive
1 dec 2023 naval ,Neutral
nice song ,Positive
december 2023 ,Neutral
i like arijits voice good luck arijit ,Positive
i dont have any girlfriend but this is my favourite song right now ,Positive
s i like to spend time with u always every minute of my life so tried it always but i dont know what u misunderstood it ,Neutral
3 years and counting still this song gives the same vibee as day 1 ,Positive
yarr pta nhi 1 bajte hi ye song kyu lag jata hai ,Neutral
masterpiece ,Positive
nyc voice ,Positive
nice ,Positive
256 that music hits different ,Positive
may my dad live long ,Positive
meri shadi s pehly ki memmories ,Neutral
darun just love you both of you p a ,Positive
144 ,Positive
nice ,Positive
i would thank all creaters who creat this amazing song ,Positive
abaad kr do ,Positive
haae mere kisi khas ne muje bheja tha ye song aj song hi sunti hu bs pr usse gae hue 2 month hogae usse yad kr kr ke hi khush ho jati hu ,Positive
love it ,Positive
har song ke comment main ek aisa insaan mil hi jata h bhai kyu ,Neutral
rajkumar the real lover out of trio ,Positive
songs dawai hai re sara tension ud jata hai ,Positive
what a song every word of the lyrics can be felt ,Positive
who is listeninn in 2023 ,Neutral
yaa to aabad ,Positive
why it feels so weird to see bollywood kissesi mean it isnt offensive but i think im more suitabl e with kdramas btw awesome song ,Positive
arjit singh is the soul of bollywood he keeps it going on ,Positive
this movie is masterpiece ,Positive
329 ,Positive
a lot of memories with this since the begining of our story and still going on i pray we may always stay together and be happy with everyone ,Positive
just love it ,Positive
im leaving a comment here so that whenever someone likes it i get reminded of this masterpiece ,Positive
good ,Positive
kaha gya usse dhundo ,Neutral
only arijit singh sing this song ,Positive
hamare jamane ka gaane ,Neutral
meetha sa yeh zeher main toh peeta rahunga ,Positive
kon kon abhi sun raha h 18102023 ,Neutral
what is dahi arf here ,Neutral
valobasha ,Positive
love this song ,Positive
thank you ,Positive
travellingwindow seatcool weatherlight raining earphones eyes closed remember someone best feeling ever ,Positive
one of the favorite songs of arijit ,Positive
iam leaving this comment here so that after a year when someone like it i will get remind of this great n beautiful song n loving ,Positive
inilah pelengkap dari hubungan cinta yang didamba yaitu buah hati yang didambakan anak yang manis dan lucu2 ,Neutral
nice sag ,Positive
329 ,Positive
524 never happens but its ok ,Neutral
when arijit nailed it ,Positive
330 ,Positive
hkhi1234 ,Neutral
ख़्वाबों को जगह न मिली आँखों में वहाँ पहले से ही सैलाब था writing singing composition picturisation of emotions top notch ,Positive
masterpiece ,Positive
good one ,Positive
movie and song both are awesome ,Positive
yeh movie sirf rajkumar rao k leye dekha tha bas rona agaya sacha pyar ek hi bar hota hai ,Positive
this song is so good ,Positive
music keeps me alive refresh happy and so on ,Positive
why video looks like scenes from witcher… ,Neutral
something our generation will cherish such a special songs ,Positive
like it so that i can listen again totally in love with this song ,Positive
super hitzzzssssssssssssssssssssss omm songs omm omm omm omm omm omm omm omm omm ,Positive
abhsihek bachhan likes a 6 year old just like me ,Neutral
19 september 2023 1032am ,Neutral
just want to leave a comment for such a masterpiece if you are here and listening to this masterpiece yes i am still waiting for you and its 2023 sep will wait till last because i still do remember your promise always be happy in your heaven ,Positive
so romantic song sweeeeeeeeeeeeeeeet song ,Positive
love this ,Positive
epic song ,Positive
aditya roy kapoor ,Neutral
anurag basu ka cinema gajabe ,Positive
328 heres the magic begins ,Positive
ख्वाबों को जगह ना मिली आंखों मेंवहाँ पहले से ही सैलाब था this line ,Positive
leaving this comment ,Neutral
very underrated movie top notch ,Positive
i seriously listen to this song 30 today ,Positive
this song is just a therapy to mind ,Positive
dhruv mehra ,Neutral
watching this song after completing whole movie ,Neutral
daddy’s princess 422 ,Neutral
bechara rajkumar bhai 149 ,Neutral
melting point it is 329 ,Positive
have some strong memories attached with this song ,Positive
one punjabi song in background where aditya and sanya are drinking i need that ,Neutral
does someone notice audio distortion at 206 ,Neutral
i m love with this song since it came this song remind me of my first trip to rajasthan leaving this comment here ,Positive
i am leaving this comment for whomwho sent this to me for expressing his feelings but we are not together anymore i will remind you whenever someone like my commentwaise to tumhe yaad krne ke liye remind krwane ki jarurat nhi h but ,Positive
itna ayeshan kardo ,Positive
like ,Positive
my new favourite ,Positive
ya tuh brbaad krdo ,Positive
arijit is loveand thank you pritam for this beautiful music ,Positive
pengen norton film nya ,Neutral
003 that musicgirl voice is very good part of song and the best when arijit starts ,Positive
the cinematography was beyond the word incredible this movie was totally amazing in every aspect ,Positive
love this movie and songs ,Positive
3rd class lyrics ,Negative
gi ,Neutral
entertaining movie fabulous songs ,Positive
kaun kaun reels per song sunke full song sunne aya hai ,Neutral
nice song ,Positive
hey stranger you have a good taste in music ,Positive
muskill aasan kar do ,Positive
anurag basu baas unke pass hi possible he aisi movie bana ne ki ,Positive
anyone 2023 ,Neutral
how many singers we have in bollywood industry but no one like arijit singh ,Positive
love this movie ,Positive
arijit singh sir ,Positive
meetha sa yeh zeher mai to peeta rahunga ,Positive
2020 watched this in 2020 ludo movie now listening on 3 aug 2023 ,Neutral
its been 2 years but this song is an emotion for me cause december covid blanket tv with full sound ,Positive
its running 3 yearsstill my fvrt ,Positive
m nice song ,Positive
sanya malhotra the best meal alive ,Positive
its been 2023 and she meets me in 2019 and i used to listen to this song cause she did abaad ,Positive
like this in 2025 ,Neutral
abhishek bachchan acting was really good i feel sad for the character ,Positive
litrally nice song ,Positive
this song is for a singer with even more husky voice like kishore kumar though arijit singing was awesome ,Positive
hoon ,Neutral
wow what song ,Positive
you can complete your lockdown without this songs ,Negative
328 ,Positive
adi ,Neutral
khwabon ko jagana mili aankho mein wahan pehle se hi silab tha crazy lines luv arjit ,Positive
90 of indian boys can relate to rajkumar raos character here ,Neutral
no love ,Neutral
whos listening for that line khwaabon ko jagah na mili ,Neutral
a true masterpiece ,Positive
most my favourite song ,Positive
326 ,Neutral
awesome movie ,Positive
ok ,Neutral
255 is like awesome melody ,Positive
aashqui ko na din me sukoon hai na raat me neend hai na kehne layak bache na samjhane layak bache haye mere nasty words kash me samay pe rok leta apne kadwe shabdo ko ,Neutral
i made a mistake not talking her ever and i regret it every sec i wish i could go back and talk that to her and propose like this song ya toh barbad kardo ya phir aabad krdo she definitely left with a piece of mine im barbaad maybe not completely but definitely not aabad like this cmnt so that i can listen to this masterpiece whenever i get notified in my busy student life ,Positive
aabad khud ho gaye or barbad wo karke chali gayi ,Neutral
love for arijit ,Positive
divine when song starts from 330 ,Positive
meetha sa ye zaher mai to pita rahunga ,Positive
khwabon ko jagah na mili aankho mein wahan pehle se shailab tha nagmein banata fira saazon pe dil apna fakhat mizraab tha ,Positive
144 when you truly love someone and dont care about the consequences ,Positive
ludobollywood ,Neutral
aisa lipkiss mujhe bhi karna hai ,Neutral
0058 is lit ,Positive
i am watching this song in every two months its so much peacefull ,Positive
329 heat my heart differently ,Positive
327 these lines ,Positive
found it after listening it for 14 years now i have become director of an mnc i used to be an addict ,Positive
050 051 054 056 058 ,Neutral
this was one of the best movies i saw during lockdown ,Positive
no doubt songs r pure foods for dishartd peoples ,Positive
i am writing this just to remind all of you legends about this masterpiece ,Positive
the first two parts are very simple lyrics but the last part is a wonderful urdu poem a masterpiece ,Positive
rajkumar fatima ,Positive
like who are listening july 2023 ,Neutral
if there were yami gautam the movie would be standard ,Neutral
how sweet aditya hating sanya ,Positive
salaam e ishq vibes ,Positive
i was listening this song hundreds of times ,Positive
still here ,Neutral
anton know feel good bollywood songs just exactly like this i know some feel good but not w this vibe this makes me so happy w life ,Positive
song which made your day ,Positive
pritam sir arijit sir sandeep sir lyrics ,Positive
acha to ye 2000 ke note inke paas the tabhi kahi deikh nahi rahe the ,Neutral
for ,Neutral
nice ,Positive
संदीप श्रीवास्तव जी ने जब भी लिखा है बहुत ही उम्दा लिखा है। ,Positive
this is not an usual listen for me but whenever i do i just enjoy the moments ,Positive
i love this song ,Positive
ek like ye lyrics likhne wale k liye bhi ,Positive
irshad kamil ,Positive
amazing lyrics who is the lyricist ,Positive
ace ,Positive
ya to barbaad ka do ,Positive
my favorite song ,Positive
this movie deserves a oscar for its cinematography ,Positive
i am here for just khvabo ko jagah na mili ankho me vaha pehle si sailab tha ,Positive
never manipulate in matters of true music stay honest for you peoples own good lovely song anyways ,Positive
i love this song ,Positive
awesome song ,Positive
3 rd june 2023 dedicating this song to kd like the comment if you ever see it kd ,Positive
ab is underrated ,Neutral
listening in 2037 ,Neutral
listen from 0329 to feel the magic ,Positive
arijit sir ,Positive
tu hi sab kuch mera falak ,Positive
329 is a masterpiece ,Positive
how hotsanya malhotra is looking in this video ,Positive
kittu ,Neutral
256 ,Positive
nice song ,Positive
baat krle shreya nhi toh barbaad krdo ,Neutral
hume to barbad hi kiya ,Negative
i am ready ,Neutral
barbad diya ,Negative
world has never heard before this type of composition legend pritam×arijit ,Positive
after so long years the lyrics still hit the core ,Positive
love for arijit sir always ,Positive
328 this part is magical ,Positive
s ,Neutral
damn ,Positive
some songs touches your soul and this song is one of them… ,Positive
masterpiece ,Positive
arijits voice is heavenly ,Positive
one of my favourite ,Positive
this song is an emotion ,Positive
ya toh barbaad kardo ya toh barbaad kardo ya fir aabaad kardo ya toh barbad kardo ya fir aaabad kardo wo galat tha ye sahi hai jhooth ye aaj kehdo itna ehsaan kardo itna ehsaan kardo poore armaan kardo lab pe aake jo ruke hai dhayi wo harf kehdo meri saanson se judi hai teri har saans kehdo mushqil aasaan kardo mushqil aasaan kardo ya toh barbaad kardo ya fir abaad kardo ya toh barbaad kardo meetha sa ye zehar main toh peeta rahunga tu khuda na sahi main toh sajde karunga hmm meetha sa ye zehar main toh peeta rahunga tu khuda na sahi main toh sajde karunga tum jo seeri na hue kya humko farhaar kardo meri saanson se judi hai teri har saans kehdo mushqil aasaan kardo ya toh barbad kardo ya fir aabaad kardo ya toh barbaad kardo khwabon ko jagah na mili aankho mein wahan pehle se shailab tha nagmein banata fira saazon pe dil apna fakhat mizraab tha khwabon ko jagah na mili aankho mein wahan pehle se shailab tha nagmein banata fira saazon pe dil apna fakhat mijraab tha meri bejaan harsraton ko kaabiledaar kardo meri saanson se judi hai teri har saans kehdo itna ehsaan kardo itna ehsaan kardo poore armaan kardo ya toh barbaad kardo ya fir aabad kardo ,Positive
comment for reminder ,Neutral
ludo is best movie i watched at evening its given me amazing vibe ,Positive
track is good but lyrics could have been better ,Neutral
abhishek bachchan is such an underrated actor ,Positive
one of the best bollywood movie ,Positive
koi like kr dena taki yaad a jye ye gaanaaaaa ,Neutral
every ssc aur other aspirant be like ya toh barbad kar do ya abad kar do ,Neutral
an underrated masterpiece from arijit ,Positive
2023me kon kon gana sun raha hai bo ,Neutral
328 best part of the song ,Positive
may 2023 wow love ,Positive
last song usne gaya tha 31 december 2022 by ,Neutral
lyrics is heart touching ,Positive
song is nicebut the drumbset should be used ,Neutral
which movie ,Neutral
watch this song on 0050 second ,Neutral
bhai is song ko mere wali ne jydaa hi seriously le liya aur wo barbad kar ke chali gayi bhosari wali ,Negative
ye song sun kr esa lagta h jo hua life m thik hi hua or mujhe is duniya se koi humdardi nhi h m bs apni dhun m chalne wala parinda hu pr m ander se kitna akela hu wo to m hi janta hu ,Neutral
i miss you ,Positive
the best part 328 ,Positive
the lyrics voice by legend ,Positive
256 minutes what a moment of the song ,Positive
thanks for suggesting this song ,Positive
330 has a separate fanbase ,Positive
ho gae barbaad from masterpiece ,Positive
what is the movei name plz ,Neutral
318 ,Neutral
209 my favourite point ,Positive
pure class wondered how this movie could not get publicity people lacks knowing the content like this ,Positive
lyrics ,Positive
v nice sag ,Positive
kon kon ya song 2023 ma sunn rha h ,Neutral
rajkumar rao is just perfect in every role and i always feel that he is living or i am living his rple in real life i dont understand why do girls always choice the wrong guy you give your 100 but they dont see that and always go for the wrong its fine now accept the truth and move on but it is hard tbh but still arjit is simply great he never miss to touch the heart of a broken heart person ,Positive
nice to hear this marvelous song ,Positive
yes please ,Positive
this song is something else never gets old ,Positive
সে শুধু আমার ,Positive
who is here only for abhishek bachchan he is supremely talentedhe is proving now with amazing scripts ,Positive
it is just like an enterainment song ,Positive
i want to be a singerrrrr i love arijit singer ,Positive
bts army ,Neutral
bebi ,Neutral
whoever says abhisheik cant act doesnt know about acting ,Positive
cenimetograpy of the movie is so beautiful ,Positive
28032023 best song ,Positive
love for that movie and song ,Positive
jo bhi aaj 26 march ko ye ganna suun raha hai like kre ,Neutral
believe me the movie is best example of post modern cinema worth watching and all songs are situational and meaningful and this one best of the best ,Positive
329 is the best version ever of arijit singh sir ,Positive
arijit singh you are a gem ,Positive
210 my heart stays there ,Positive
q ,Neutral
next level lyrics ,Positive
mitha sa zaher mein to pita rahuga this lines are so nice ,Positive
arijit bhai kya chij ho yr tum ,Positive
barbaad kar do ,Positive
its arijit singhs world and we are just living in it ,Positive
002 me to adani shares right now ,Neutral
at 120 see her i wanted to kiss her ,Neutral
kya gaana hai ,Positive
nice video ,Positive
raj kumar rao and pankaj tripaathi best natural actors what a performance ,Positive
they are more comfortable with each other than ever and it shows it seems like a dance session theyd have in their living room and i am here for it ,Positive
khwabo ko jgh na mili ankho me wala phle se hi sailab tha ,Positive
i have a strange sa dream of having a friend or a gf named aditi ,Neutral
abhishek bacchan was the guru ,Positive
just love this song and this song lyrics thrill me very much and arijit singh sir ka voice just wow ,Positive
all legendary actress in one movie ,Positive
plz like i will cpme back to hear it ,Neutral
all actars it is best for you ,Positive
this song deserved 500 million views ,Positive
in love with the music and lyricsso soothing and heartwarming ,Positive
328 khwaabo ko jagah naa mili aankho mein waha pehlein se hee sailaab thaa ,Positive
wow what a song sing i like it ,Positive
112 adityas arm ,Neutral
no words every word reaches at the bottom of your heart and the ultimate voice of arijit kudos ,Positive
the best ,Positive
khawabo ko jagah na mili aankhon mein waha pehle se hi sailaab tha ,Positive
i really feel someone ,Positive
khaawon ko jgh na mili aakhon m wha pahle se hee sailaab tha kya line h paji ,Positive
ya toh barbaad krdo ya phirabaad krdo kya line j ,Positive
watched ludo and loved itthis and ranbir kapoors jagga jasoos are something straight outta disney ,Positive
so here is a thing if a girl is touching her earings while talking she is faking it ,Neutral
drums are so simple but rocks so well in the song good ,Positive
omg abhishek bachan and childs story was really emotional ,Positive
arjitda ,Positive
arjitda ,Positive
arijits voice means a lot of feelings ,Positive
i am big fan of arijit singh ,Positive
arijit is legend magical voice extremely talented ,Positive
ja toh barbaad krdo ,Positive
328408 ,Positive
aditya needs to do such roles he was great in ashiqui too ,Positive
who are listening to remember their past ,Neutral
heart touching song√√ ,Positive
144best line ,Positive
headphones full volume close your eyes heaven ,Positive
pritam and arijit is the best underreted duo in the music industry i am listing songs of this duo since childhood ,Positive
ready to hear next hardum humdum ludo songs marathon on the way ,Positive
very beautiful song ,Positive
me after investing in crypto ,Neutral
double protection ,Neutral
whoever’s reading this i pray that whatever your going through gets better and whatever your struggling with or worrying about is going to be fine and that everyone has a fantastic day ,Positive
listen to this masterpiece till end ,Positive
arijit sir ko baari mei kuch bhi nehi bolega bcos arijit sirs emotional ,Positive
i loved rajkumaar rao abhishek bachchan and pankaj tripaathi so much in this film ,Positive
sheeren farhad were baloch lovers appreciate your work ,Positive
will you collaboration with me bro ,Neutral
excellent movie ,Positive
ludo kinda movies bollywood deserves ,Positive
nice ,Positive
when this movie came in 2020 nov max people could not understood the moviethey were giving confused reviewsbcoz at that scam 1992 was more famous bt i loved both ,Positive
the music of pritam is so different in every album just he the singer is same which completes the music ,Positive
when this song was realised i was facing my 2 ½ year relsn breakup ,Neutral
no not her but her ,Neutral
i smply love her ,Positive
movie was awesome ,Positive
if wise could kill a pearson arijit would be a murderar ,Positive
one of the best parts at 256 ,Positive
when the 1st antara begins thats the power of arijit singh his versatility the pinch of emotion that he brings to these groovy song nearly brings tears in eyes only he can do that so well ,Positive
saaarr what a loveeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee yoyoyooyoyyoyoyoyooyoyoyooooooyoyoyoyoyoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo ,Positive
abhishek is priceless in this movie ,Positive
this song is very wonderful ,Positive
this movie is the bollywood version of pulp fiction in the way all the stories of al characters are connected which means this needs to be on the top lists i loved abhishek and rajkumars characters stories and the acting as well aditya roy kapoor was amazingly good as well ,Positive
good ,Positive
31122022 ,Neutral
avi bacchan is outstanding on this movie ,Positive
এই গানটা তুমিই আমাকে শুনিয়েছিলে। আমদের কাটানো সব সুন্দর সময় গুলো মনে পরে যাবে তোমার। নিজের যত্ন নিও। ,Positive
fun fact you also replayed the most replayed ,Neutral
check most replayed park ,Neutral
nice music ,Positive
2020 chala gaya aur 2023 bhi chala jayega yahi gaane sun ke man ki taslli ho jaati hai ki hum bhi single hokar bhi single nahi hai ,Positive
when everything is going wrong donno why i just come back to this song with burst of tears ,Positive
hi anumaa ,Neutral
meetha sa ye zehar me toh peeta rahunga ,Positive
sirf nangapana is bollywood ,Negative
abaad barbaad is way of expressing the way you feel for your beloved one ji aap mere liye bahut khas ho ,Positive
ya to barbaad kardo ya to abaad kardo i m in love with this line i wish some1 will remained me for this legendary song ,Positive
just obsessed with this song ,Positive
nice ,Positive
nice ,Positive
nice ,Positive
apka gana bahut acha hai ,Positive
life in a metro 2 for me ,Positive
320 ,Positive
038 why they didnt use this one more time ,Neutral
ei ganer sathe ekjoner sriti mishe ache ,Positive
329 favorite part ,Positive
sun lo bhai ,Neutral
feeling so high ,Positive
superb ,Positive
ab is song ko half blue film hi samjhokya baki reh gaya dikhane kosab maahol ganda kar diya is bollywood necomment please ,Negative
master piece by arijit singh sir ,Positive
who is watching this song alone in room with earphones in 2022 ,Neutral
arijit singh most versatile singer of bollywood ,Positive
khwabon ko jagah na mili aankhon mein wahaan pehle se hi sailaab tha nagme banaata fira saajo pe dil apna fatak mijraab tha ,Positive
329 ,Positive
this generation will be incomplete without arijit singh ,Positive
arijit singh is one of the most favourite singer to me ,Positive
ye song ki alag hi vibe h ,Positive
we want songs like this ,Positive
329 is just the thing i focus on ,Positive
nowshehra road gujranwala ,Neutral
rajkumar’s acting in this movie is just lit ,Positive
i never get bored to watch this movie ,Positive
outstanding music ,Positive
when i lisent this song i missed my crush nd i wish i go back that time ,Positive
013 ,Neutral
18112022 ,Neutral
this song ,Positive
pinwel ,Neutral
why people forget so easily every good thing happened in the past why does it holds no more real value going by thiseven the present will become past after this time passes away by this logic every happy moment every relationship holds no value is it so ,Neutral
meri jaan safa ,Positive
meri jaan safa ,Positive
beautiful moments are attached with this song nostalgic vibes comes out while listening to this ,Positive
john 5 24 truly truly i say to you whoever hears my word and believes him who sent me has eternal life and will not come into condemnation but has passed from destruction to life hearing the word of god and believing according to this text means accepting jesus as the only and sufficient savior reading the bible attending an evangelical church and practicing the commandments of god as soon as you learn condemnation comes from sin and through sin it entered the world sin generates condemnation which in turn leads the person without jesus to perdition suffering sin entered the world through adam but it is removed through jesus who paid a heavy price on the cross for us he did his part now we have to do our part hes calling you are you coming dont delay tomorrow may be too late for you hugs ,Positive
loved this song back in 2020 came back again today ,Positive
rip ,Neutral
apriciate to writer and director to made this beautiful moviei really realise the definition of movie word that is movie is reflection of community ,Positive
lots of things teach me the moviealso come in pandamic situationthat is very good ,Positive
ll ,Neutral
i never knew sanya is this much hot ,Positive
meine like kiya aur 462k se 463k ho gaya ,Neutral
330 take my heart and my feelings to just another level really love this song and its lyrics ,Positive
world no1 singer arajit singh ,Positive
isme bhi peeta bai ashiqi me bhi peeta hai ,Neutral
northeast indian vaishnavs are like hindu punjabis to some extent in regards of nature and behaviour love you all ,Positive
after long long daystoday i have listened this amazing song ,Positive
one of the best song ,Positive
tejas patil ,Neutral
pure ,Positive
do they really kiss ,Neutral
awesome movie awesome cinematography soo perfect ,Positive
000 ,Neutral
what a meaningful magical lyrics by sandeep srivastava ,Positive
i go to office and i always listen to this master peace 2022 oct ,Positive
wao ,Positive
i love arijit singh ,Positive
dec 2020 i was in himachal pradesh on trek that i was listening to this song 15 oct 2022 344 am ,Neutral
a masterpiece song ,Positive
this song for all my friends who is married and dedicate this song to there lovable wife ,Positive
this lyrics are just amazing ,Positive
wow 329 ,Positive
every one side lover can relate to this song ,Neutral
327 ,Positive
this song really depicts reality of life the pain which is the driving force of life ,Positive
we need to appreciate lyrics writer sandeep srivastava ,Positive
first time listening this song but loved it ,Positive
epic song ,Positive
meetha sa ye jeher mae tou pita rahungga ,Positive
super ,Positive
bakre jaisi awaz ,Negative
i dont know from where i pick up this song its like addiction now ,Positive
329 feel it ,Positive
super ,Positive
this song is also touch my heart ,Positive
mushkil aasaan kardoooooo ,Positive
everyone is praising the movie but none of them is praising the lyrics how beautiful and deep ,Positive
the start though ,Positive
who can feel it ,Neutral
kisi b song ko feel krne wale log comments me milte h ,Positive
amazing modern love well described ,Positive
i love arijit ,Positive
arijit ki makhmali voice aur vi dilo ki gehrayion main sama jati hain ,Positive
nice song ,Positive
impressive acting by abhishek bachhan ,Positive
ludo full movie ,Neutral
king of voice arijit singh ,Positive
i love this song ,Positive
khwabon ko jagah ni mili aankhon mein waha pehle se hi sailaab tha nagme banata phira saazon pe dil apna faqat mizrab tha ,Positive
241 mushkil aasan krdo was just ,Positive
mushkil aasan krdo is just ,Positive
what a composition lyrics arijits voice ,Positive
31082022 kon kon suna hey iss masterpiece ko ,Neutral
meri saasoon se judi hai teri har saans keh do ,Positive
have such sweet memories with this song it was the first song i sent to my love my sunshine ,Positive
this is the most beautiful song for me ever lots of beautiful memoriesssss ,Positive
a ,Neutral
literally this is real bollywood movies ,Positive
true masterpiece yar ,Positive
this movie is a directorial masterpiece in the song only the amount of thoughts and ideas that are put together is much more than compared to another movie itself the music set and camera work altogether created magic from the glimpse of abhishek bachchan watching the house to rajkumar raos memories transition is so perfect to watch ,Positive
what a singer man a very average composition and same as far as lyrics are concerned only sir arijit can make a difference ,Positive
220817 ,Neutral
merko to is admiii ne brbad kr dia h hhahhahagrv ,Negative
what a masterpiece sung by legend arijit sir ,Positive
nice song arijit sing ,Positive
loved the movie and this song ,Positive
arijitpritam masterpiece ,Positive
masterpiece movie i have seen ever ,Positive
jab zindagi barbad lagti h yeh gana sune ata hu ,Neutral
gr8 song ,Positive
rajkumar is a gem ,Positive
i proposed her on this songit was our favorite song u know that song whenever you listenyou only think about that person now she has left meblocked me from everywhere and am left with this song and her memories still makes me feel her presence whenever i listen to iti hope someday mushqil aasaan kar do ya to barbaad kar do ya to aabaad kar do if not then meetha sa yeh zehar main to peeta rahungatu khuda na sahi main to sajde karunga lastly tum jo sheerin na huye kya humko farhaad kar do you did you actually did ,Positive
soo sweet song ,Positive
arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit arijit singh ,Positive
when arijit said ख्वाबों को जगह ना मिली आंखों मैं वहॉ पहले से ही सैलाब था । i really felt that ,Positive
finally barbaad hi ker diya ,Negative
329 heaven ,Positive
arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit god of voice arijit singh sir ,Positive
god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit god of music arijit sir we love you arijit singh ,Positive
my go to song ,Positive
329 this ,Positive
arijit singh ,Positive
she is having lavish body and uff those two cushions ,Positive
this song remembers me about lockdown days and i watched this movie when netflix got free for 34 days ,Neutral
listening to the lyrics only oh yeah and also the beats ,Positive
0328 ,Positive
17072022 1051 pm ,Neutral
iss gaana ko sone mai ek alag hi mozaa haiiss gaana mai ek defical voice ek defical sur hai ,Positive
who else remembered this song suddenly and came here to listen this masterpiece song ,Neutral
whoever reading this comment i really hope you find peace and strength to live through the day whatever youre going through right now i promise itll be okay ,Positive
i dont know why but iam listening this song again and again ,Positive
pritam x ariji the bangali era ,Positive
jddkhkhb ,Neutral
best singer arijit singh 1272022 ,Positive
0 ,Neutral
this masterpiece deserves at least 500 million views ,Positive
masterpiece still in 2022 ,Positive
all 4 stories are so nostalgic but that abhishek bachhans story is soo good even in song ,Positive
nice arijit ,Positive
what a lyrics music and everything about this song is perfect ,Positive
movi nam kaya hai ,Neutral
3 out of 4 stories ended kinda happily it was just bittu left with a sad ending even satyu faced a good ending ,Neutral
this tune is addictive great job by pritam and arijit ,Positive
i love this song so much ,Positive
love u bhaiso good ,Positive
i watch this song just bcoz of abhishek bacchan i wish him to be in whole song ,Positive
001 ,Neutral
001 ,Neutral
001 ,Neutral
001 ,Neutral
song is good but ,Positive
arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit king of voice arijit god of voice arijit singh sir ,Positive
105 mushkil aasan kar dou that pich ,Positive
gr8 movie gr8 song just lovin it especially abhishek bacchans acting ,Positive
wow namaste ,Positive
only for u dear ,Positive
